LEM: log-linear and event history analysis with missing data.
Developed by Jeroen Vermunt (c), Tilburg University, The Netherlands.
Version 1.0 (September 18, 1997).


*** INPUT ***

  lat 2
man 8
dim 2 2 2 2 2 2 2 2 2 3
lab Y Z A B C D E S T G
mod SG T|SG {SG ST GT} YZ|SGT {SGTYZ} A|Y B|Y E|Y C|Z D|Z
ite 10000
dat [0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 4 0 0 1 0 1 1 0 0 2 1 0 6 3 1 3 1 1 4 4 1 1 1 0 0 0 1 0 2 1 0 0 0 0 0 0 2 3 0 0 2 2 0 3 2 0 4 1 0 1 1 0 1 1 2 1 0 0 0 0 4 7 4 0 4 2 4 2 0 0 3 2 0 1 0 8 1 2 1 0 0 5 3 7 0 1 0 3 5 3 0 0 1 1 2 2 2 0 1 9 4 2 8 3 0 12 6 1 10 3 1 6 2 1 7 3 1 11 6 3 0 1 0 2 10 13 3 2 2 8 21 47 0 3 1 1 11 10 2 1 5 4 13 17 1 1 2 9 7 7 3 3 0 7 11 8 1 4 0 3 7 5 1 9 1 3 6 4 0 0 0 1 0 1 0 0 0 1 0 0 1 3 2 0 0 2 0 3 0 0 0 1 2 1 0 0 0 0 2 1 0 1 0 1 11 6 5 2 4 0 13 7 4 1 1 1 1 1 0 0 0 1 1 0 0 0 0 3 1 5 10 1 0 5 0 2 4 1 4 5 3 2 0 0 1 0 2 0 2 0 0 0 10 17 4 0 3 1 5 7 4 3 5 4 0 0 0 3 0 1 0 2 0 4 2 4 1 3 0 0 2 1 1 1 3 2 0 2 2 1 0 7 0 3 6 0 1 8 4 1 13 7 1 10 4 3 9 8 6 4 6 9 0 1 0 3 4 6 4 0 6 6 4 15 5 7 4 2 7 8 2 6 9 3 15 24 6 1 1 3 4 3 3 4 4 7 5 5 14 8 6 6 9 5 7 6 8 6 17 4]
see 385



*** STATISTICS ***

  Number of iterations = 127
  Converge criterion   = 0.0000009705
  Seed random values   = 385

  X-squared            = 396.6461 (0.0056)
  L-squared            = 397.9029 (0.0049)
  Cressie-Read         = 378.1609 (0.0292)
  Dissimilarity index  = 0.1992
  Degrees of freedom   = 328
  Log-likelihood       = -6220.37133
  Number of parameters = 55 (+1)
  Sample size          = 1156.0
  BIC(L-squared)       = -1915.3897
  AIC(L-squared)       = -258.0971
  BIC(log-likelihood)  = 12828.6423
  AIC(log-likelihood)  = 12550.7427

  Eigenvalues information matrix
    1367.8064  1281.2186  1171.5174  1169.9167  1153.0581  1103.6578
    1041.1176  1030.3510   956.4604   942.5348   869.3795   866.9760
     734.8175   683.2851   642.6710   616.3093   569.1655   557.5998
     482.9077   429.1669   409.4447   381.9024   370.9613   366.6550
     345.7797   328.9436   305.7352   270.7278   262.0482   238.1366
     216.4175   197.4601   176.0370   149.4217   143.2968   108.5892
     102.4882    94.4748    82.9621    64.4667    56.6167    45.7296
      36.9453    33.7876    25.3673    19.3824    13.8243     7.5737
       4.7119     0.0009     0.0004     0.0002     0.0002     0.0001
       0.0001

WARNING: 6 (nearly) boundary or non-identified (log-linear) parameters



*** FREQUENCIES ***

  A B C D E S T G     observed  estimated  std. res.
  E  2   0.8773  0.8773  0.3812  0.3812
  S  1   0.5061  0.5473  0.3076  0.4168
  S  2   0.4939  0.4527  0.6924  0.5832
  T  1   0.5619  0.7555  0.0857  0.2179
  T  2   0.4381  0.2445  0.9143  0.7821
  G  1   0.0468  0.4198  0.1284  0.6529
  G  2   0.4213  0.4016  0.3285  0.2637
  G  3   0.5319  0.1786  0.5432  0.0835

E = 0.2076, lambda = 0.6856
